Strategy,Return (%),CAGR (%),Sharpe,Volatility (%),Max DD (%),Win Rate (%),Trades,Final ($)
HODL,1576.09,63.24,1.11,61.64,-76.63,51.09,1,167441.19
Buy Dip 10%,1269.7,57.62,1.06,60.99,-76.63,49.71,10,136970.34
Buy Dip 20%,1891.43,68.21,1.18,58.88,-76.63,49.52,10,199142.63
Buy Dip 30%,2100.06,71.15,1.21,58.2,-76.63,49.52,10,220006.18
Buy Dip 30% (profit_25),201.82,21.17,0.71,36.52,-64.56,22.79,77,30181.56
Buy Dip 30% (sma_50),102.86,13.09,0.52,35.59,-59.95,26.74,299,20286.29
Buy Dip 30% (ema_21),181.1,19.68,0.72,32.08,-56.41,24.55,598,28110.25
Buy Dip 30% (bb_middle),219.21,22.36,0.86,27.77,-48.7,24.17,740,31921.03
Buy Dip 30% (ema_cross),138.66,16.33,0.59,37.01,-59.34,26.97,317,23866.44
Buy Dip 30% (sma_distance),232.49,23.23,0.72,40.64,-66.14,27.59,239,33248.78
RSI <30,1322.09,58.65,1.07,60.92,-76.63,49.71,10,142209.28
MA Cross 50/200,724.25,44.3,1.03,45.51,-56.64,30.35,11,82424.52
Bollinger 20d,1517.57,62.24,1.12,58.09,-76.63,49.71,10,161757.39
DCA 30d,376.32,31.17,0.92,36.73,-56.32,51.09,69,47631.79
Vol-Adjusted DCA,317.89,28.22,0.89,34.36,-53.98,50.29,70,41789.17
