Strategy,Return (%),CAGR (%),Sharpe,Volatility (%),Max DD (%),Win Rate (%),Trades,Final ($)
HODL,1576.09,63.24,0.92,51.21,-76.63,51.09,1,167441.19
Buy Dip 10%,1269.7,57.62,0.88,50.68,-76.63,49.71,10,136970.34
Buy Dip 20%,1891.43,68.21,0.98,48.93,-76.63,49.52,10,199142.63
Buy Dip 30%,2100.06,71.15,1.01,48.36,-76.63,49.52,10,220006.18
Buy Dip 30% (profit_25),201.82,21.17,0.59,30.34,-64.56,22.79,77,30181.56
Buy Dip 30% (sma_50),12.76,2.11,0.18,23.51,-50.9,20.84,922,11275.83
Buy Dip 30% (ema_21),71.03,9.78,0.43,19.33,-38.18,20.84,1167,17102.98
Buy Dip 30% (bb_middle),127.05,15.32,0.7,15.92,-19.91,20.65,1242,22705.31
Buy Dip 30% (ema_cross),17.76,2.88,0.2,22.92,-50.96,20.84,945,11776.35
Buy Dip 30% (sma_distance),143.46,16.73,0.5,31.64,-66.14,24.93,557,24345.95
RSI <30,1322.09,58.65,0.89,50.62,-76.63,49.71,10,142209.28
MA Cross 50/200,724.25,44.3,0.86,37.81,-56.64,30.35,11,82424.52
Bollinger 20d,1517.57,62.24,0.93,48.27,-76.63,49.71,10,161757.39
DCA 30d,376.32,31.17,0.77,30.52,-56.32,51.09,69,47631.79
Vol-Adjusted DCA,317.89,28.22,0.74,28.55,-53.98,50.29,70,41789.17
