Strategy,2020 Return (%),2021 Return (%),2022 Return (%),2023 Return (%),2024 Return (%),2025 Return (%),Avg Return (%)
HODL,302.79,57.64,-65.3,154.23,111.53,27.81,98.11666666666666
Buy Dip 20%,378.57,25.8,-55.2,6.78,62.71,45.6,77.37666666666667
Buy Dip 10%,229.16,34.27,-60.58,82.24,128.28,37.53,75.14999999999999
Bollinger 20d,288.73,17.18,-52.78,74.93,55.57,35.57,69.86666666666667
Buy Dip 30%,428.71,19.05,-44.67,0.0,0.0,0.0,67.18166666666666
RSI <30,241.75,11.77,-56.83,88.54,80.67,33.71,66.60166666666667
DCA 30d,195.21,8.37,-37.81,57.14,52.65,18.89,49.074999999999996
Vol-Adjusted DCA,171.03,3.93,-31.32,39.83,42.13,18.0,40.6
MA Cross 50/200,215.41,-3.98,0.0,5.9,21.73,2.78,40.306666666666665
Buy Dip 30% (sma_distance),100.17,41.22,-44.67,0.0,0.0,0.0,16.119999999999997
Buy Dip 30% (profit_25),66.57,55.98,-44.67,0.0,0.0,0.0,12.979999999999997
Buy Dip 30% (bb_middle),26.33,35.98,-7.64,0.0,0.0,0.0,9.111666666666666
Buy Dip 30% (ema_21),28.78,24.68,-6.56,0.0,0.0,0.0,7.816666666666666
Buy Dip 30% (ema_cross),33.34,5.66,-19.45,0.0,0.0,0.0,3.2583333333333333
Buy Dip 30% (sma_50),30.04,5.48,-19.73,0.0,0.0,0.0,2.631666666666666
