Strategy,Return (%),CAGR (%),Sharpe,Volatility (%),Max DD (%),Win Rate (%),Trades,Final ($)
HODL,57.64,57.89,0.97,80.41,-53.06,50.96,1,15748.59
Buy Dip 10%,34.27,34.41,0.77,76.33,-53.06,49.32,10,13427.14
Buy Dip 20%,25.8,25.9,0.68,69.63,-50.62,48.49,10,12579.97
Buy Dip 30%,19.05,19.12,0.59,55.51,-31.62,32.05,10,11905.09
Buy Dip 30% (profit_25),55.98,56.21,1.29,41.11,-26.23,19.18,32,15597.66
Buy Dip 30% (sma_50),16.16,16.22,0.56,42.87,-26.23,21.37,42,11616.18
Buy Dip 30% (ema_21),41.32,41.49,1.08,39.32,-14.82,21.64,70,14132.33
Buy Dip 30% (bb_middle),56.15,56.39,1.53,32.54,-12.96,18.9,93,15614.91
Buy Dip 30% (ema_cross),23.38,23.47,0.7,43.17,-26.23,22.74,42,12337.89
Buy Dip 30% (sma_distance),41.22,41.38,0.96,47.62,-26.23,23.56,21,14121.72
RSI <30,11.77,11.81,0.48,56.87,-31.62,35.07,10,11177.15
MA Cross 50/200,-3.98,-3.99,0.06,35.59,-31.62,14.25,1,9602.25
Bollinger 20d,17.18,17.25,0.57,48.55,-31.62,35.07,10,11718.31
DCA 30d,8.37,8.4,0.4,43.31,-29.91,50.96,11,10836.01
Vol-Adjusted DCA,3.93,3.95,0.29,35.06,-27.12,46.85,12,10393.14
