Strategy,Return (%),CAGR (%),Sharpe,Volatility (%),Max DD (%),Win Rate (%),Trades,Final ($)
HODL,-65.3,-65.43,-1.12,52.73,-66.89,46.3,1,3466.57
Buy Dip 10%,-60.58,-60.7,-0.96,52.31,-66.74,46.3,10,3942.26
Buy Dip 20%,-55.2,-55.32,-0.82,51.32,-66.74,44.38,10,4479.98
Buy Dip 30%,-44.67,-44.78,-0.79,40.8,-50.34,29.59,10,5533.1
Buy Dip 30% (profit_25),-44.67,-44.78,-0.79,40.8,-50.34,29.59,10,5533.1
Buy Dip 30% (sma_50),-19.73,-19.79,-0.31,32.33,-40.18,29.04,128,8026.72
Buy Dip 30% (ema_21),-6.56,-6.58,-0.06,24.86,-24.34,28.77,227,9343.96
Buy Dip 30% (bb_middle),-7.64,-7.67,-0.12,23.43,-21.37,28.49,248,9235.64
Buy Dip 30% (ema_cross),-19.45,-19.51,-0.31,31.51,-40.18,28.77,158,8055.23
Buy Dip 30% (sma_distance),-44.67,-44.78,-0.79,40.8,-50.34,29.59,10,5533.1
RSI <30,-56.83,-56.95,-0.87,51.42,-66.74,44.66,10,4317.11
MA Cross 50/200,0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Bollinger 20d,-52.78,-52.9,-0.99,42.77,-57.72,44.38,10,4722.06
DCA 30d,-37.81,-37.91,-1.11,26.29,-41.78,46.3,11,6218.16
Vol-Adjusted DCA,-31.32,-31.41,-1.06,22.06,-35.28,42.47,12,6868.06
