Strategy,Return (%),CAGR (%),Sharpe,Volatility (%),Max DD (%),Win Rate (%),Trades,Final ($)
HODL,27.81,38.7,0.82,34.96,-28.14,50.18,1,12768.58
Buy Dip 10%,37.53,52.93,1.14,29.48,-17.44,41.09,10,13752.87
Buy Dip 20%,45.6,65.0,1.41,26.88,-12.83,41.09,10,14559.81
Buy Dip 30%,0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (profit_25),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (sma_50),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (ema_21),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (bb_middle),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (ema_cross),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (sma_distance),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
RSI <30,33.71,47.29,1.34,21.64,-11.55,42.18,10,13371.03
MA Cross 50/200,2.78,3.72,0.26,13.08,-12.25,12.73,1,10277.9
Bollinger 20d,35.57,50.03,1.27,24.18,-12.25,44.0,10,13557.28
DCA 30d,18.89,25.94,0.99,17.5,-11.13,50.18,8,11887.72
Vol-Adjusted DCA,18.0,24.69,1.09,14.93,-9.34,44.36,9,11800.16
